timestamp,package,cpu(%),memory(MB),fps,jank,stutter(%),gpu(%),battery.level,battery.voltage(mV),battery.temp(C),battery.current(mA),network.rx(KB/s),network.tx(KB/s)
1773193033701,com.spreadwin.tuyun,0.0,124.7,4,0,27.4,0.8,58,3918,30.5,0,0.0,0.0
1773193036471,com.spreadwin.tuyun,0.0,159.7,54,0,4.6,3.9,58,3918,30.5,0,4.8,0.8
1773193038677,com.spreadwin.tuyun,0.0,158.1,0,0,0.0,0.3,58,3918,30.5,0,0.4,0.1
1773193040818,com.spreadwin.tuyun,14.2,158.6,17,0,3.7,2.9,58,3918,30.5,0,0.3,0.3
1773193042942,com.spreadwin.tuyun,82.1,161.2,46,0,7.2,3.6,58,3918,30.5,0,0.4,0.1
1773193045337,com.spreadwin.tuyun,0.0,156.8,2,0,0.0,2.8,58,3918,30.5,0,10.5,0.8
1773193047894,com.spreadwin.tuyun,25.0,164.6,19,1,17.8,10.3,58,3918,30.5,0,4.1,1.0
1773193050388,com.spreadwin.tuyun,0.0,160.2,24,1,17.3,0.1,58,3918,30.5,0,0.5,0.0
1773193052946,com.spreadwin.tuyun,0.0,158.8,0,0,0.0,0.0,58,3918,30.5,0,3.9,0.0
1773193055411,com.spreadwin.tuyun,0.0,158.8,0,0,0.0,0.1,58,3918,30.5,0,0.2,0.0
1773193057913,com.spreadwin.tuyun,0.0,158.8,0,0,0.0,0.1,58,3918,30.5,0,0.1,0.1
1773193060377,com.spreadwin.tuyun,0.0,158.8,0,0,0.0,0.1,58,3918,30.5,0,0.2,0.0
1773193062872,com.spreadwin.tuyun,0.0,158.8,0,0,0.0,0.4,58,3918,30.5,0,0.0,0.0
1773193065395,com.spreadwin.tuyun,0.0,158.8,25,1,16.7,0.3,58,3918,30.5,0,6.1,0.6
1773193068601,com.spreadwin.tuyun,25.0,168.1,11,4,60.5,2.7,58,3918,30.5,0,37.9,3.7
1773193070984,com.spreadwin.tuyun,53.5,169.4,46,6,29.9,16.0,58,3918,30.5,0,0.0,0.0
1773193073377,com.spreadwin.tuyun,57.1,167.8,50,1,17.0,18.5,58,3918,30.5,0,0.2,0.0
1773193075740,com.spreadwin.tuyun,86.6,169.5,55,4,19.8,16.4,58,3918,30.5,0,0.1,0.0
1773193078202,com.spreadwin.tuyun,85.7,168.9,55,3,16.4,18.9,58,3918,30.5,0,5.5,0.8
1773193080577,com.spreadwin.tuyun,73.3,167.8,57,1,10.8,16.5,58,3922,30.3,0,1.9,0.4
1773193083006,com.spreadwin.tuyun,0.0,171.8,28,5,58.4,3.2,58,3922,30.3,0,6.2,0.3
1773193085501,com.spreadwin.tuyun,17.2,167.0,0,0,0.0,3.2,58,3922,30.3,0,0.1,0.0
1773193087882,com.spreadwin.tuyun,96.4,168.0,26,2,52.5,2.0,58,3922,30.3,0,2.9,0.8
1773193090458,com.spreadwin.tuyun,0.0,170.1,28,5,56.5,0.3,58,3922,30.3,0,0.2,0.1
1773193092824,com.spreadwin.tuyun,0.0,167.3,0,0,0.0,0.0,58,3922,30.3,0,0.0,0.0
1773193095297,com.spreadwin.tuyun,0.0,167.3,0,0,0.0,0.0,58,3922,30.3,0,2.4,1.9
1773193097716,com.spreadwin.tuyun,0.0,167.3,0,0,0.0,0.0,58,3922,30.3,0,0.2,0.0
1773193100230,com.spreadwin.tuyun,0.0,167.3,0,0,0.0,0.5,58,3922,30.3,0,0.2,0.4
1773193102734,com.spreadwin.tuyun,0.0,167.3,0,0,0.0,0.0,58,3922,30.3,0,0.2,0.6
1773193105294,com.spreadwin.tuyun,0.0,167.3,0,0,0.0,0.5,58,3922,30.3,0,0.2,0.1
1773193108573,com.spreadwin.tuyun,0.0,168.0,0,0,0.0,0.0,58,3922,30.3,0,0.2,0.1
1773193111048,com.spreadwin.tuyun,0.0,167.6,0,0,0.0,0.2,58,3922,30.3,0,0.3,0.2
1773193113573,com.spreadwin.tuyun,0.0,167.6,0,0,0.0,0.2,58,3922,30.3,0,2.0,0.0
1773193116055,com.spreadwin.tuyun,0.0,167.6,0,0,0.0,0.2,58,3922,30.3,0,0.1,0.1
1773193118495,com.spreadwin.tuyun,0.0,167.6,0,0,0.0,0.2,58,3922,30.3,0,0.0,0.0
1773193121794,com.spreadwin.tuyun,0.0,167.6,0,0,0.0,0.0,58,3922,30.3,0,0.0,0.0
1773193124315,com.spreadwin.tuyun,0.0,167.6,0,0,0.0,0.0,58,3922,30.3,0,1.0,0.0
1773193126756,com.spreadwin.tuyun,0.0,167.6,0,0,0.0,0.0,58,3922,30.3,0,0.7,1.0
1773193129266,com.spreadwin.tuyun,0.0,166.8,0,0,0.0,0.5,58,3922,30.3,0,4.8,0.7
