timestamp,package,cpu(%),memory(MB),fps,jank,stutter(%),gpu(%),battery.level,battery.voltage(mV),battery.temp(C),battery.current(mA),network.rx(KB/s),network.tx(KB/s)
1774583167038,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583168298,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583169529,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583170777,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583172009,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583173251,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583174485,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583175732,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583176944,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583178194,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583179432,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583180667,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583181914,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583183181,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583184442,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583185676,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583186955,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583188224,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583189467,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583190706,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583191948,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583193217,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583194422,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583195669,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583196908,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583198171,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583199413,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583200649,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583201885,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583203210,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583204443,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583205723,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583206946,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583208177,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583209445,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583210695,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583211911,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583213145,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583214406,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583215653,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583216891,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583218123,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583219374,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583220671,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
1774583221893,,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
