timestamp,package,cpu(%),memory(MB),fps,jank,stutter(%),gpu(%),battery.level,battery.voltage(mV),battery.temp(C),battery.current(mA),network.rx(KB/s),network.tx(KB/s)
1774492825566,com.spreadwin.tuyun,50.0,378.0,14,13,76.8,0.0,91,4364,32.7,0,0.0,0.0
1774492828961,com.spreadwin.tuyun,25.0,375.1,2,1,96.8,0.0,91,4364,32.7,0,0.0,0.0
1774492831717,com.spreadwin.tuyun,28.1,374.3,2,1,96.6,0.0,91,4393,32.7,0,0.0,0.0
1774492834448,com.spreadwin.tuyun,15.6,375.0,2,1,96.8,0.0,91,4393,32.7,0,0.0,0.0
1774492837059,com.spreadwin.tuyun,29.4,374.9,3,2,95.7,0.0,91,4393,32.7,0,0.0,0.0
1774492839809,com.spreadwin.tuyun,22.5,374.9,2,1,96.8,0.0,91,4389,32.6,0,0.0,0.0
1774492842818,com.spreadwin.tuyun,15.1,374.3,2,1,96.8,0.0,91,4389,32.6,0,0.0,0.0
1774492845792,com.spreadwin.tuyun,61.2,374.5,14,13,77.1,0.0,91,4389,32.6,0,0.0,0.0
1774492848812,com.spreadwin.tuyun,12.9,374.7,2,1,96.8,0.0,91,4389,32.6,0,0.0,0.0
1774492851788,com.spreadwin.tuyun,25.0,374.4,2,1,96.7,0.0,91,4389,32.6,0,0.0,0.0
1774492854559,com.spreadwin.tuyun,22.5,375.1,5,3,92.3,0.0,91,4389,32.6,0,0.0,0.0
1774492857280,com.spreadwin.tuyun,11.1,375.0,3,2,96.0,0.0,91,4389,32.6,0,0.0,0.0
1774492859857,com.spreadwin.tuyun,14.8,375.0,2,1,96.8,0.0,91,4389,32.6,0,0.0,0.0
1774492862543,com.spreadwin.tuyun,18.1,374.6,2,1,96.7,0.0,91,4389,32.6,0,0.0,0.0
1774492865102,com.spreadwin.tuyun,29.6,374.9,8,5,81.5,0.0,91,4389,32.6,0,0.0,0.0
1774492867485,com.spreadwin.tuyun,25.9,374.7,2,1,96.8,0.0,91,4389,32.6,0,0.0,0.0
1774492870243,com.spreadwin.tuyun,15.6,374.7,2,1,96.8,0.0,91,4389,32.6,0,0.0,0.0
1774492872987,com.spreadwin.tuyun,29.6,375.2,2,1,96.7,0.0,91,4389,32.6,0,0.0,0.0
1774492875780,com.spreadwin.tuyun,54.8,375.2,16,15,74.9,0.0,91,4389,32.6,0,0.0,0.0
1774492878561,com.spreadwin.tuyun,24.2,375.2,2,1,96.8,0.0,91,4389,32.6,0,0.0,0.0
1774492881196,com.spreadwin.tuyun,26.6,374.7,2,1,96.8,0.0,91,4389,32.6,0,0.0,0.0
